cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,dat_responsabilidad_total
201611,40133,24,2,6,5,26304333
201611,40150,24,4,20,4,108095610
201611,40044,18,4,2,1,245755788
201611,40044,19,3,24,18,391265638
201611,40133,25,1,9,9,10397401
201611,40128,24,2,1,1,1611685
201611,40012,8,4,24045,67,7267678026
201611,40044,21,1,27,23,58643809
201611,40138,28,1,138,3,31363828
201611,40014,18,2,131,81,148394239
201611,40012,22,3,237,27,211997503
201611,40014,20,3,17,11,38043686
201611,40059,26,4,1,1,60315968
201611,40058,25,4,87,35,958483656
201611,40030,21,4,197,13,713416249
201611,40012,20,2,216,138,132130459
201611,40014,19,4,893,194,32684459398
201611,40012,18,4,18,7,1076070729
201611,40036,24,1,154,137,57584031
201611,40014,13,1,747,546,511821154
201611,40152,21,2,2,2,20429259
201611,40072,5,3,127,47,413254476
201611,40102,4,2,1,1,10064578
201611,40150,14,2,8,6,49064800
201611,40152,19,4,112,54,2391501671
201611,40143,5,4,2,2,220110740
201611,40062,9,3,95,36,159379755
201611,40058,29,3,2,1,10035862
201611,40147,9,4,13,4,99585094
201611,40058,28,4,80,30,1215590567
201611,40156,16,3,1,1,0
201611,40014,14,3,303,119,927950112
201611,40002,17,3,9,6,83773452
201611,40021,30,4,1215,30,4785908247
201611,40152,25,2,2,1,3848916
201611,40014,22,5,9,1,478054215
201611,40147,19,1,8,3,48134
201611,40154,27,2,4,4,6067186
201611,40021,32,2,107,45,54665268
201611,40143,15,1,20,16,44929623
201611,40044,2,2,18,16,120227941
201611,40021,27,1,689,312,93640254
201611,40037,30,3,2,1,40989420
201611,40131,16,4,1,1,8969
201611,40030,25,1,847,319,514660923
201611,40012,23,3,38,13,90250850
201611,40030,22,4,131,18,1212359358
201611,5,4,4,232,34,8525186820
201611,40058,29,1,5,3,1928168
201611,5,7,1,5980,3838,2371870258
201611,40036,31,1,134,110,24705790
201611,40138,25,2,18,16,66858894
201611,40002,13,3,7,5,10650136
201611,40133,23,1,1,1,0
201611,40058,30,3,9,6,51039462
201611,40002,8,5,2,1,374123060
201611,40002,9,4,1095,363,75651735348
201611,40137,25,3,4,3,41055359
201611,40138,23,4,6,4,146353739
201611,40044,29,4,2,2,59098189
201611,40036,29,3,1,1,38161
201611,40137,24,4,2,1,32339396
201611,40131,25,1,184,182,2805562
201611,40128,13,2,2,1,3337382
201611,40059,30,1,4,3,25875843
201611,40036,4,2,7,6,747748
201611,40058,28,2,312,173,607557409
201611,40014,21,3,81,33,338972203
201611,40014,20,4,66,6,945274458
201611,5,1,1,5248,3056,2237618979
201611,40037,19,4,1,1,48562125
201611,40132,7,2,2,1,13287825
201611,40002,27,2,638,499,427946244
201611,40072,29,2,69,51,70024322
201611,40147,25,2,14,7,31324022
201611,40131,2,2,9,5,9876007
201611,40150,30,3,3,2,31784571
201611,40112,25,3,10,1,19044685
201611,40060,11,1,1,1,9589675
201611,40072,30,1,770,604,280048777
201611,40112,24,4,3,1,140442337
201611,40131,9,1,185,168,13817128
201611,40060,9,3,6,5,81330481
201611,40021,9,3,971,96,809954666
201611,40128,27,4,21,1,29999996
201611,40072,31,3,77,24,68459102
201611,40036,21,1,281,249,28575462
201611,40072,32,2,908,506,744516948
201611,40030,11,2,7209,999,3501174097
201611,40044,9,2,161,133,1200295053
201611,40143,22,1,1,1,62578
201611,40062,19,4,363,66,2913691724
201611,40021,11,4,526,25,3174677283
201611,40138,6,2,1,1,1398683
201611,40062,25,1,112,47,19213023
201611,40036,19,3,8,6,59164865
201611,40062,21,2,112,29,54632865
201611,40072,30,4,66,26,3628209395
201611,40036,999,2,1,1,0
201611,40021,999,1,28,7,3293205
201611,40108,19,4,7,5,1666041297
201611,40072,23,3,10,8,124524131
201611,40150,7,2,5,3,16051138
201611,40021,2,5,14,1,394745159
201611,40143,30,1,2,1,8454782
201611,40002,18,3,6,4,17942451
201611,40113,8,2,103,85,291031981
201611,40014,30,5,4,1,134074259
201611,40002,21,3,62,32,256214427
201611,40113,5,2,38,33,105432355
201611,40058,11,4,65,27,1071109583
201611,40143,999,2,2,2,82303584
201611,40112,25,2,14,2,33156755
201611,40030,1,1,334,94,174021474
201611,40058,14,1,1224,919,841265092
201611,40132,19,1,17,8,33421445
201611,40030,5,3,60,10,158820773
201611,40036,9,5,370,16,38594153663
201611,40072,22,1,524,428,208529201
201611,40059,999,4,6,5,1231543187
201611,5,14,2,21217,6962,19564390575
201611,5,999,4,159,47,38729334867
201611,40021,999,4,16,10,3789030468
201611,40072,20,3,20,12,23489181
201611,40138,16,4,3,2,14050925
201611,40059,23,4,13,8,624825384
201611,40042,25,5,1,1,160111728
201611,40059,24,3,3,2,6286492
201611,40132,15,3,29,8,63178465
201611,40152,24,2,2,2,62768935
201611,40002,9,5,2,1,694800100
201611,40021,26,1,1577,672,189821010
201611,40154,25,3,1,1,0
201611,40042,27,3,2,1,0
201611,40042,22,2,4,3,49465138
201611,40112,999,2,21,1,0
201611,40137,14,4,1,1,4002608
201611,40058,22,4,18,9,535574049
201611,40133,15,2,5,3,4724559
201611,40131,18,1,8,8,136989
201611,40106,30,4,1,1,115071674
201611,40136,19,3,6,4,67847281
201611,40002,11,3,82,43,547344694
201611,40021,17,4,1356,7,228940788
201611,40044,28,4,18,8,600943837
201611,40152,22,4,8,1,138047897
201611,40150,8,2,8,3,35976803
201611,40108,11,1,2,2,67722132
201611,40002,24,4,35,17,1115524993
201611,40002,21,1,401,325,443495392
201611,40002,22,3,33,19,263021762
201611,40152,9,3,3,2,11143341
201611,40147,30,1,52,37,48261030
201611,40059,30,2,2,2,34923147
201611,5,13,2,2158,1081,1754123794
201611,40002,23,2,404,326,274531510
201611,40060,4,2,2,2,7385334
201611,40154,10,1,2,2,3411892
201611,40112,28,4,6,2,624169712
201611,40154,13,1,2,1,479019
201611,40021,25,4,3008,28,3726831568
201611,40044,1,1,7,5,55933060
201611,40152,5,4,6,4,218902389
201611,40072,18,1,353,258,109308381
201611,40137,15,4,3,3,150219191
201611,40044,1,4,31,14,2228391105
201611,40014,20,2,207,129,182961328
201611,40136,19,1,8,5,37421030
201611,40112,19,4,8677,32,2945328695
201611,40138,15,3,278,2,33429775
201611,40044,4,4,1,1,5726139
201611,40113,30,2,41,36,105563473
201611,40131,15,2,20,7,9580603
201611,40012,21,3,529,56,570289532
201611,40113,24,2,24,16,9162874
201611,40021,5,1,1386,565,109285676
201611,40112,22,1,2,2,933496
201611,40030,32,4,1,1,2424853
201611,40150,7,4,2,1,6313553
201611,40036,2,2,46,27,23448427
201611,40145,14,1,3,2,1000210
201611,40145,15,3,2,2,2000699
201611,40062,11,1,68,25,17975635
201611,40145,11,4,3,2,31766466
201611,40002,16,4,46,17,1631071426
201611,40143,9,3,21,10,92666356
201611,40156,15,4,9,8,337504101
201611,40014,15,2,1470,903,2591290854
201611,40012,18,1,1689,1244,410600719
201611,40110,28,4,3,2,488223368
201611,5,999,1,173,129,49230237
201611,5,1,3,317,58,970960996
201611,40058,31,1,67,53,74782097
