cve_periodo,cve_institucion,sector,plazo_venc,plazo,tasa,cve_tipo_moneda
201612,040012,13,31.01,47.54,6.25,1
201512,040014,1,14.78,20.62,4.65,1
201512,040002,3,23.35,31.22,2.66,1
201512,040014,21,13.95,20.37,3.65,1
201612,040002,20,20.25,29.56,3.65,1
201512,040012,7,71.62,94.14,3.77,1
201612,040014,16,46.41,58.22,3.9,1
201512,040021,20,21.04,26.5,3.93,1
201612,040021,14,27.09,50.02,5.4,1
201612,040021,8,19.58,25.1,3.62,1
201512,040021,12,47.36,77.44,3.18,1
201512,040044,7,41.07,58.38,3.17,1
201512,040044,10,25.04,51.27,3.26,1
201512,040012,22,47.5,56.16,4.04,1
201512,040021,22,23.57,32.83,3.79,1
201612,040036,20,52.97,83.55,11,1
201612,040044,10,17.91,53.84,3.41,1
201512,040036,3,36.57,69.92,8.61,1
201512,040036,9,74.75,83.72,3.6,1
201512,040036,6,65.02,86,6.31,1
201612,040014,5,75.52,83.16,3.97,1
201512,040002,10,52.3,60.78,1.87,1
201512,040036,11,32.47,39.22,4.29,1
201512,040014,20,16.55,23.95,3.89,1
201612,040014,23,35.61,49.94,4.16,1
201512,040002,22,44.52,53.98,3.73,1
201612,040072,4,45.93,56.89,3.46,1
201612,040044,8,40.86,57.19,2.92,1
201612,040036,10,105.88,118.9,5.19,1
201512,040012,1,26.59,36.19,4.06,1
201512,040002,5,48.29,68.58,2.66,1
201512,040036,23611,41.58,63.63,5.4,1
201512,040012,23611,35.7,40.93,4.76,1
201512,040072,23611,29.6,35.22,6.1,1
201612,040014,9,5.16,6.72,4.21,1
201612,040072,9,28.01,45.15,3.6,1
201512,040002,14,34.76,43.33,2.8,1
201512,040014,10,74.04,92.93,3.35,1
201512,040012,5999,70.42,86.97,3.83,1
201612,040044,3,47.2,58.36,3.77,1
201612,040036,7,86.97,106.32,5.66,1
201612,040044,11,39.08,48.01,3.71,1
201612,040012,16,54.19,67.38,4,1
201612,040021,12,43.97,72.01,3.81,1
201612,040072,5,101.33,113.74,4.93,1
201612,040012,21,19.75,25.25,3.74,1
201612,040021,10,27.53,39.76,3.6,1
201612,040014,1,16.73,23.13,5.28,1
201612,040014,10,80.7,91.04,4.01,1
201512,040014,5999,54.65,69.88,3.41,1
201512,040021,8,23.23,27.09,3.3,1
201612,040012,20,19.7,27.93,3.85,1
201512,040002,23611,25.1,48.81,3.31,1
201512,040036,20,46.82,65.29,11,1
201612,040072,21,21.15,30.04,2.33,1
201612,040002,8,22.79,28.28,1.76,1
201512,040072,7,74.42,92.31,4.06,1
201512,040036,8,37.59,47.73,2.47,1
201512,040014,14,4.08,4.88,2.15,1
201612,040036,22,72,73.42,5.19,1
201512,040072,8,26.79,33.96,2.78,1
201612,040021,22,23.03,31.48,4.29,1
201612,040012,6,47.42,65.53,6.25,1
201612,040014,4,23.63,34.82,2.72,1
201512,040072,16,55.2,73.42,4.85,1
201512,040036,7,25.27,54.13,5.01,1
201512,040044,3,44.36,60.35,4.05,1
201612,040002,21,18.23,30.42,2.48,1
