cve_institucion,cve_periodo,cve_concepto,dato
040072,201601,3,7.2621
040072,201601,4,3.9398
040072,201601,6,40
040072,201601,7,14991757382
040072,201602,1,22553
040072,201602,2,20546
040072,201602,3,8.6655
040072,201602,4,3.396
040072,201602,6,28
040072,201602,7,19448678550
040072,201603,1,14172
040072,201603,2,12735
040072,201603,3,8.2338
040072,201603,4,3.7206
040072,201603,6,27
040072,201603,7,15748688969
040072,201604,1,14652
040072,201604,2,13059
040072,201604,3,8.6005
040072,201604,4,3.0776
040072,201604,6,28
040072,201604,7,14106833061
040072,201605,1,16792
040072,201605,2,14674
040072,201605,3,8.7358
040072,201605,4,3.9193
040072,201605,6,51
040072,201605,7,20431885321
040072,201606,1,15975
040072,201606,2,13986
040072,201606,3,8.4554
040072,201606,4,3.6256
040072,201606,6,26
040072,201606,7,19889655264
040072,201607,1,13809
040072,201607,2,12377
040072,201607,3,9.102
040072,201607,4,3.5101
040072,201607,6,26
040072,201607,7,16482358119
040072,201608,1,14296
040072,201608,2,12789
040072,201608,3,9.1838
040072,201608,4,3.1875
040072,201608,6,27
040072,201608,7,16145045954
040072,201609,1,14506
040072,201609,2,12844
040072,201609,3,8.8314
040072,201609,4,4.1074
040072,201609,6,52
040072,201609,7,22185259698
040072,201610,1,15619
040072,201610,2,13666
040072,201610,3,9.1907
040072,201610,4,3.3968
040072,201610,6,33
040072,201610,7,18346132993
040072,201611,1,15288
040072,201611,2,13302
040072,201611,3,9.2427
040072,201611,4,4.2266
040072,201611,6,60
040072,201611,7,24616349794
040072,201612,1,14733
040072,201612,2,12812
040072,201612,3,9.5695
040072,201612,4,4.021
040072,201612,6,54
040072,201612,7,28235726225
5,201501,1,155688
5,201501,2,37550
5,201501,3,6.5308
5,201501,4,2.5533
5,201501,5,9.9075
5,201501,6,20
5,201501,7,1.60756E+11
5,201502,1,155056
5,201502,2,35334
5,201502,3,6.6028
5,201502,4,2.4268
5,201502,5,9.9037
5,201502,6,18
5,201502,7,1.51374E+11
5,201503,1,182771
5,201503,2,37678
5,201503,3,6.3441
5,201503,4,3.4453
5,201503,5,10
5,201503,6,28
5,201503,7,2.13269E+11
5,201504,1,164551
5,201504,2,35540
5,201504,3,6.331
5,201504,4,2.4283
5,201504,5,10
5,201504,6,34
5,201504,7,1.89578E+11
5,201505,1,163318
5,201505,2,34820
5,201505,3,6.5613
5,201505,4,2.4733
5,201505,6,22
5,201505,7,1.6786E+11
5,201506,1,170660
5,201506,2,35339
5,201506,3,6.6694
5,201506,4,2.6024
5,201506,6,24
5,201506,7,1.85367E+11
5,201507,1,176303
5,201507,2,37087
5,201507,3,6.8809
5,201507,4,3.3985
5,201507,6,29
5,201507,7,1.71069E+11
5,201508,1,168120
5,201508,2,34838
5,201508,3,6.7788
5,201508,4,3.5209
5,201508,5,10
5,201508,6,34
5,201508,7,1.77504E+11
5,201509,1,164277
5,201509,2,34880
5,201509,3,6.6131
5,201509,4,2.4771
5,201509,5,10
5,201509,6,23
5,201509,7,2.01815E+11
5,201510,1,175297
5,201510,2,35758
5,201510,3,6.693
5,201510,4,2.2432
5,201510,5,9.5665
5,201510,6,21
5,201510,7,1.95054E+11
5,201511,1,167100
5,201511,2,34747
5,201511,3,6.5089
5,201511,4,2.2189
5,201511,5,7.3134
5,201511,6,24
5,201511,7,1.92837E+11
5,201512,1,182546
5,201512,2,35347
5,201512,3,6.5266
5,201512,4,3.3496
5,201512,5,10
5,201512,6,35
5,201512,7,2.47418E+11
5,201601,1,158131
5,201601,2,34983
5,201601,3,6.5634
5,201601,4,3.4292
5,201601,5,10
5,201601,6,35
5,201601,7,2.03532E+11
5,201602,1,177595
5,201602,2,49389
5,201602,3,7.3172
5,201602,4,3.0686
5,201602,5,10
5,201602,6,26
5,201602,7,1.87502E+11
5,201603,1,170414
5,201603,2,42480
5,201603,3,7.2768
5,201603,4,3.5114
5,201603,5,10
5,201603,6,37
5,201603,7,1.99175E+11
5,201604,1,169657
5,201604,2,42503
5,201604,3,7.2966
5,201604,4,3.5447
5,201604,5,10
5,201604,6,35
5,201604,7,1.90956E+11
5,201605,1,188630
5,201605,2,45559
5,201605,3,7.369
5,201605,4,3.4726
5,201605,6,34
5,201605,7,2.10282E+11
5,201606,1,185843
5,201606,2,45314
5,201606,3,7.3029
5,201606,4,3.038
5,201606,6,27
5,201606,7,2.31751E+11
5,201607,1,176066
5,201607,2,40205
5,201607,3,7.5975
5,201607,4,3.2482
5,201607,5,10
5,201607,6,27
5,201607,7,2.16574E+11
5,201608,1,188648
5,201608,2,44277
5,201608,3,7.6068
5,201608,4,2.9345
5,201608,5,9.2771
5,201608,6,25
5,201608,7,2.34405E+11
5,201609,1,196035
5,201609,2,46153
5,201609,3,7.8341
5,201609,4,3.5468
5,201609,5,9.3827
5,201609,6,34
5,201609,7,2.4141E+11
5,201610,1,180455
5,201610,2,43779
5,201610,3,8.094
5,201610,4,3.3963
5,201610,6,24
5,201610,7,2.1732E+11
5,201611,1,186303
5,201611,2,41482
5,201611,3,8.363
5,201611,4,3.6586
5,201611,5,10
5,201611,6,35
5,201611,7,2.52257E+11
5,201612,1,187261
5,201612,2,41622
5,201612,3,8.8453
5,201612,4,3.2333
5,201612,6,29
5,201612,7,2.47089E+11
