cve_periodo,cve_institucion,cve_TEC,cve_dato,saldo
201604,5,1,3,437840
201605,040021,3,1,3043864191
201505,040012,4,0,2.35974E+11
201503,5,1,4,244317
201502,5,3,4,4546
201506,040002,3,3,1856
201506,5,4,0,1.07359E+12
201504,040044,4,3,930
201510,040044,2,4,409
201607,040021,2,2,528360927
201503,040014,1,3,55814
201512,5,1,2,5947263719
201502,040012,5,3,38
201608,040072,3,4,1384
201508,040012,4,1,2.37758E+11
201604,040014,5,3,96
201602,5,3,4,4397
201602,040072,5,4,21
201607,040036,3,0,845951791
201612,040014,5,4,16
201510,040014,3,4,1331
201508,040044,5,2,35701217
201605,5,3,3,42094
201611,040044,4,2,1415237509
201604,5,5,3,730
201608,040036,3,0,845321058
201511,040036,1,4,2921
201512,040072,4,0,1.26605E+11
201605,040072,4,0,1.31332E+11
201605,040002,5,3,7
201501,5,4,0,1.02326E+12
201508,040014,1,4,38933
201602,040044,4,3,1045
201611,5,4,2,17199112898
201505,040014,3,1,10690996631
201607,040012,5,1,2630030711
201605,040021,4,2,7509927298
201505,040072,5,3,75
201610,040072,1,1,12313472366
201508,040044,4,1,56611875143
201501,040021,2,3,28719
201605,040036,2,2,316484574
201507,040002,3,0,9039297943
201607,040014,1,2,1227158987
201502,040012,2,3,35949
201509,040002,5,3,3
201603,040072,2,0,27684945704
201504,040072,2,1,25820132007
201605,040072,2,2,1881700061
201506,040072,4,4,1037
201504,5,1,2,5441551556
201606,040072,3,2,420262900
201604,040012,4,2,2443512302
201604,040044,4,1,69916880103
201602,040012,3,4,1612
201512,5,3,2,2579844255
201607,5,4,3,375441
201606,040072,1,2,801024743
201503,040012,4,3,189841
201511,040044,1,4,177
201511,040021,2,1,5998781875
201608,040044,1,4,219
201603,040014,1,2,970639018
201602,040012,5,1,2797211302
201509,040002,2,4,32247
201504,5,2,1,1.55184E+11
201503,040036,4,4,408
201502,040072,3,1,8382045115
201504,040014,5,0,3929507750
201505,5,2,1,1.5731E+11
201610,5,4,4,5928
201604,040014,3,3,3645
201509,040021,2,2,523237013
201604,040012,5,3,36
201603,040072,1,3,30517
201606,040014,5,3,82
201507,5,1,4,228437
201602,040021,5,3,43
201603,040036,4,2,2999537621
201512,040072,1,1,10495297495
201610,040021,3,1,2913714918
201611,5,3,3,40033
201503,040014,2,2,898733163
201501,040012,2,1,21619518889
201611,040072,5,4,17
201511,040044,4,2,1092633546
201605,040012,1,4,159382
201511,040072,5,4,21
201510,040002,5,1,396287579
201605,040021,2,1,5958813417
201606,5,2,3,208964
201508,040012,5,3,39
201603,040014,3,0,11570805342
201507,040036,2,3,3742
201611,040012,4,3,243359
201601,5,2,3,195739
201512,5,1,4,238402
201601,040002,2,1,29210985713
201608,040072,5,1,6802269052
201503,040012,1,1,48866343542
201607,040072,2,0,27677095355
201606,040072,2,3,33910
201603,040036,2,2,308883293
201502,040044,5,0,1624611523
201606,040044,2,1,3938940991
201604,5,4,1,1.18386E+12
201609,040012,2,1,26324405204
201604,040036,5,2,319898
201611,5,1,3,443475
201506,040044,1,2,66741176
201606,040036,2,1,1947445727
201507,040044,4,0,55116635703
201506,040012,2,1,22988640480
201508,040072,1,2,833412531
201501,040002,2,4,30437
201512,040044,4,0,66909136957
201506,040002,4,3,3817
201506,5,3,2,2547200123
201611,040036,1,1,1342248950
201604,040072,2,0,27507214107
201510,5,3,2,2740325873
201511,040002,1,3,13079
201610,040012,2,1,27093558203
201502,040002,1,3,12109
201607,040002,3,3,1533
201608,040036,2,2,324700379
201506,5,2,1,1.58101E+11
201610,040021,1,2,385299699
201608,040036,3,3,330
201609,040002,4,4,1262
201612,040002,1,0,12335462070
201607,040012,4,2,2313827559
201512,040044,2,0,4180241392
201611,5,4,4,6019
201502,040021,2,0,6138704806
201610,040021,1,1,4404711614
201512,040021,1,4,17691
201508,040021,3,0,3172033098
201512,5,2,0,1.76072E+11
201602,040036,1,2,185105301
201507,040072,1,3,19159
201510,040012,1,3,197601
201608,040072,3,2,422904164
201612,5,2,2,7459892714
201508,040044,4,0,57611766338
201506,040072,3,3,2904
201510,040072,3,1,7615247326
201608,040072,1,4,23502
201507,5,5,2,1783815371
201612,040012,4,1,3.07864E+11
201506,040036,4,4,399
201606,040044,5,4,3
201608,040044,4,3,1135
201603,5,5,2,2166071873
201606,040036,5,4,19
201603,040044,1,2,37357260
201509,040044,3,3,322
201604,040012,3,1,12578563969
201606,5,3,3,39656
201609,040072,2,4,19417
201502,040014,5,0,3901068330
201605,5,3,4,4395
201608,040044,5,0,1770232785
201605,040072,4,4,1313
201509,040036,5,3,358
201604,5,3,2,2697701933
201508,040072,3,2,450679705
201604,040036,1,2,261254783
201608,040002,3,4,941
201504,040044,2,3,488
201509,040044,4,2,1007707039
201608,040014,4,1,1.98848E+11
201510,040021,4,2,9734678004
201507,5,2,3,193218
201612,040072,2,3,33163
201502,040036,2,0,2310635345
201611,040021,4,1,1.18718E+11
201503,040044,1,3,197
201501,040012,4,0,2.21282E+11
201602,040002,1,4,10955
201507,040072,3,3,2693
201605,040021,3,3,5349
201612,040021,2,4,7240
201507,040002,2,0,26934618084
201608,040021,2,4,7331
201501,040014,2,1,28124544338
201604,040044,1,3,229
201507,040021,2,3,26708
201502,040012,4,1,2.16948E+11
201502,040002,3,2,28591394
201512,5,4,4,5191
201609,5,5,2,2143991535
201609,5,1,0,1.75988E+11
201604,040012,3,2,535271828
201512,040072,3,0,7848318247
201507,040014,2,4,12305
201604,040002,3,3,1595
201612,040036,3,2,147610819
201509,040036,5,2,319898
201609,040021,3,3,4494
201511,5,2,2,7782282330
201507,040002,3,3,1847
201610,040014,4,4,1628
201504,040036,5,0,40308965881
201503,040021,4,0,98812636096
201605,040012,2,4,15052
201502,040002,3,3,1863
201511,040014,3,2,387093335
201512,040036,5,3,405
201512,040036,1,1,1267416486
201506,040072,2,3,26698
201606,040044,5,0,1725093888
201502,040021,1,1,4562073242
201505,040036,2,1,2033293723
201505,040012,4,1,2.32606E+11
