cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,MDMC
201612,040021,1,4,368,8,110499527
201612,040014,31,3,10,9,47671774
201612,040014,23,2,12,12,53091156
201612,5,6,3,62,12,80911505
201512,040002,29,4,1,1,1054602
201512,040002,23,4,4,4,320030520
201512,040021,31,2,88,51,19853055
201512,5,10,4,108,23,1256455411
201612,040014,24,1,34,29,39396168
201512,040021,999,4,2,1,51390250
201612,040014,32,2,16,12,34667660
201512,040014,28,4,18,13,415256459
201512,040012,20,4,136,3,40286003
201512,040014,1,1,31,27,47221229
201512,040014,23,2,15,12,21649031
201512,040012,22,2,57,23,84323647
201512,040014,20,2,12,12,16670738
201512,040012,21,3,160,17,85953463
201512,040002,9,2,634,619,545768917
201612,040014,32,3,1,1,3000000
201512,040014,24,1,29,28,46506452
201612,040044,8,4,16,15,178132958
201512,040014,22,3,20,6,18279280
201512,040014,18,4,1,1,501000
201512,040014,6,2,8,8,9998023
201512,040044,14,1,1,1,384
201612,040002,17,3,1,1,6000000
201612,040021,18,2,45,11,8395865
201612,040002,19,1,53,51,44168644
201512,040014,4,1,14,14,21627242
201512,040012,6,1,21,11,32948434
201512,040012,7,3,33,5,13947457
201512,040014,4,4,2,2,294900000
201512,040012,8,2,43,19,28892655
201512,040012,5,2,69,22,57386017
201612,040002,18,2,15,12,27285794
201512,040014,7,1,28,27,19451210
201512,040014,3,5,14,1,22512246
201512,040044,14,4,31,24,585608422
201512,040044,16,2,3,2,10645717
201512,040044,11,4,16,14,543474739
201512,040072,11,4,10,6,269301427
201512,040072,17,1,25,25,11701200
201612,040014,999,1,1,1,4305000
201612,040044,13,1,3,2,1302471
201512,040044,26,4,11,10,169709595
201612,040002,24,2,39,38,55134326
201512,040072,12,3,1,1,0
201612,040002,25,1,21,20,21451255
201612,040036,9,3,3,3,36800000
201612,040044,10,4,4,4,80916367
201612,040021,25,3,6,3,2066362
201512,040072,20,1,62,60,35293111
201512,5,22,1,394,277,281942045
201612,040012,26,4,343,27,669134981
201612,040012,29,1,3,3,5750318
201512,040044,5,2,6,5,13728074
201612,040044,1,1,1,1,5000000
201612,040002,21,4,30,11,290127112
201512,040072,26,1,44,42,31031765
201612,040014,27,1,25,25,31955217
201512,040036,19,4,7,5,303782890
201512,040044,17,2,3,2,711489
201612,040014,12,1,20,20,19509031
201512,040021,11,2,88,49,70520801
201512,5,24,2,477,238,445227349
201512,040044,21,1,2,2,527819
201612,040072,6,1,50,47,6937285
201512,040036,21,2,1,1,20000000
201512,040014,8,4,96,35,618387435
201512,040014,2,4,41,17,269161998
201612,040014,9,4,369,187,13124031919
201612,040014,10,3,1,1,336981
201512,040021,9,4,1974,99,5151795097
201512,040014,17,2,6,5,11685504
201612,040036,15,4,18,4,88473190
201512,040021,18,2,20,11,1135137
201612,040072,3,3,1,1,24104
201612,5,21,4,1049,64,7270121666
201512,5,23,4,525,48,1801066960
201512,040014,18,1,27,26,27669937
201612,5,23,2,276,169,228010410
201512,040036,26,4,6,1,4624677
201612,5,22,3,175,35,221395831
201512,040044,23,1,1,1,1068917
201512,5,24,1,439,282,303127868
201512,040072,28,4,15,7,1531936785
201512,040044,21,3,2,2,8483175
201512,040036,14,2,3,3,6420000
201612,040072,16,1,101,87,25609332
201612,040044,27,2,4,3,4282453
201512,040036,15,4,20,8,526119656
201512,040044,22,2,5,4,16841410
201612,040044,25,4,9,8,3639425185
201512,5,21,4,1000,63,8495379139
201612,5,27,3,65,22,106130695
201512,040021,7,2,27,24,2824315
201612,5,999,4,14,11,858930018
201512,040002,25,3,16,12,136853670
201612,040012,26,2,93,30,81582742
201612,040072,13,1,36,34,8535902
201512,040021,15,3,39,11,67950932
201512,040021,8,4,421,11,190598913
201512,040002,24,4,1,1,1989303
201512,040012,31,2,26,16,88667777
201512,040021,27,2,38,36,3485187
201612,040021,5,4,175,9,1677106989
201512,040072,14,3,39,34,115033756
201612,040036,999,4,7,5,811127903
201612,040021,7,2,24,23,11202219
201612,040002,22,2,72,71,44972805
201612,040044,13,2,1,1,2000000
201612,040072,19,1,910,839,151596085
201512,040012,29,4,4,2,47000000
201612,040002,23,1,8,8,12454036
201512,040044,4,2,2,2,2788376
201512,040021,2,1,95,86,3045206
201612,040012,29,2,1,1,11445795
201512,040036,9,4,226,51,14335149731
201512,040014,30,1,140,122,139991375
201612,040014,26,3,10,8,47569704
201612,040021,31,4,124,8,188499054
201512,040014,27,1,32,32,48600675
201612,040044,8,1,11,9,60461286
201512,040014,29,2,2,2,1083202
201512,040014,27,4,10,7,97870918
201512,040044,8,1,8,7,20441324
201612,040021,8,1,146,133,28152866
201612,040044,7,2,1,1,22290574
201512,040072,17,2,23,22,11425096
201612,040036,15,2,1,1,3500000
201512,040002,9,3,48,34,201910958
201512,040002,11,1,39,36,49644186
201612,040072,26,1,124,111,13875206
201612,040072,24,3,8,7,30875586
201612,040072,23,4,9,8,432460692
201612,040021,3,1,18,18,212785
201512,040044,22,3,2,2,18588267
201512,040014,11,4,46,24,366600563
201512,040014,12,3,1,1,5477262
201512,040012,9,2,1783,275,1033185589
201512,040002,21,3,19,14,54031474
201512,040014,5,4,15,11,1386938501
201512,040014,7,2,12,10,6823472
201612,040044,25,3,7,5,17337368
201612,040044,27,1,3,2,90640
201612,040002,2,3,1,1,6800000
201612,040002,3,2,18,18,14003633
201612,040012,24,2,25,10,21022000
201612,040014,20,4,9,4,86859971
