cve_periodo,cve_institucion,Concentracion,Monto_Acumulado,Participacion_Acumulada
201512,040036,Cliente 170,1.43792E+11,0.9495
201504,040002,Cliente 20,40694944740,0.2268
201611,040021,Cliente 10,23418397571,0.1676
201604,040002,Cliente 100,83675987694,0.4223
201612,040021,Cliente 300,1.16756E+11,0.8358
201512,040002,Cliente 190,1.16753E+11,0.5509
201612,040014,Cliente 200,1.38728E+11,0.5035
201502,040014,Cliente 30,48806813274,0.2254
201510,040014,Cliente 70,78414946913,0.3297
201501,040072,Cliente 6,16372630922,0.0954
201610,040044,Cliente 12,21793430382,0.2342
201504,040014,Cliente 14,41704894994,0.1801
201508,040044,Cliente 17,18499490774,0.2723
201608,040044,Cliente 2,7528982342,0.082
201609,040012,Cliente 170,1.90178E+11,0.5102
201510,040012,Cliente 400,2.04499E+11,0.6385
201505,040021,Cliente 20,33611594464,0.286
201501,040044,Cliente 10,11806109478,0.1976
201504,040014,Cliente 30,56733329479,0.245
201504,040044,Cliente 190,45243065655,0.7241
201611,040036,Cliente 30,1.31331E+11,0.708
201509,040021,Cliente 17,30643982345,0.2535
201512,040044,Cliente 2,7493028161,0.0962
201507,040014,Cliente 11,38016241415,0.1656
201603,040044,Cliente 50,35532003629,0.4425
201604,040012,Cliente 19,69053748795,0.2025
201510,040012,Cliente 18,61243329775,0.1912
201504,040021,Cliente 6,16099775812,0.1372
201607,040002,Cliente 110,1.00988E+11,0.4522
201607,040036,Cliente 14,77769255823,0.4958
201507,040036,Cliente 150,1.40673E+11,0.9352
201506,040014,Cliente 80,85736469290,0.3696
201601,040014,Cliente 19,54431059281,0.2139
201511,040044,Cliente 10,18799084992,0.2485
201504,040036,Cliente 140,1.45492E+11,0.9301
201507,040021,Cliente 17,31451299417,0.2658
201604,040021,Cliente 20,35731245154,0.2724
201603,040021,Cliente 6,16736190760,0.1287
201610,040021,Cliente 110,86351627063,0.6334
201510,040002,Cliente 6,24970934515,0.1247
201608,040021,Cliente 60,63112898517,0.477
201611,040021,Cliente 400,1.22236E+11,0.8746
201505,040012,Cliente 11,48882661122,0.1632
201503,040072,Cliente 12,26747560378,0.1575
201602,040002,Cliente 30,60037011924,0.2822
201504,040072,Cliente 17,33811196968,0.2002
201610,040036,Cliente 11,73464651827,0.4366
201604,040021,Cliente 90,77509220490,0.5908
201509,040021,Cliente 5,13641356761,0.1129
201611,040012,Cliente 1000,2.98362E+11,0.7672
201610,040036,Cliente 150,1.59495E+11,0.9479
201612,040002,Cliente 4,14858080285,0.0609
