cve_periodo,cve_institucion,cve_estado,cartera_total,imor,creditos,acreditados
201612,040002,12,318340933,0.9809,603,507
201612,040002,25,6610518635,0.2615,2115,1729
201612,040036,6,9097591,26.5178,98,81
201612,040044,32,68716719,0,14,9
201612,040012,25,10389235388,2.8887,22967,828
201612,040012,27,1337249510,5.8309,1213,600
201612,040021,15,8227042590,6.4192,4886,1582
201612,040044,26,2518967791,2.5051,108,64
201612,040002,2,7647263546,0.1254,1932,1543
201612,040002,9,87456759415,0.3623,14922,11683
201612,040012,31,3883036481,0.6709,1837,553
201612,040036,9,1.09276E+11,1.6359,4433,2833
201612,040044,14,3563920364,1.9534,215,147
201612,040044,28,719434521,22.0507,59,40
201612,040072,13,657957313,18.1741,380,304
201612,040002,99,2.43785E+11,0.3292,62842,49892
201612,040012,18,1673108127,1.0546,614,336
201612,040014,28,3607603041,6.2117,1745,1205
201612,040036,17,38533191,43.0082,175,162
201612,040044,13,527105118,7.357,19,14
201612,040072,7,1227263269,5.2728,1545,1129
201612,040002,23,2175140114,0.005,572,461
201612,040012,3,1013206183,2.0401,739,397
201612,040014,3,2554223379,0.1253,394,276
201612,040021,20,233399500,1.9855,1100,399
201612,040072,24,2253646754,0.9155,1722,1199
201512,040002,88,3788840647,0,25,12
201512,040012,7,1890472847,0.5908,1240,805
201512,040012,12,865083507,24.7817,956,568
201512,040014,2,3563168702,28.8259,1514,1087
201512,040021,4,1131187775,0.3682,520,183
201512,040021,10,305855360,4.0207,1112,334
201512,040044,3,25667857,0,1,1
201512,040072,88,46138579,0,3,3
201612,040012,32,583965511,0.915,611,402
201612,040014,19,34592073397,2.0137,3853,2265
201612,040021,17,340141096,1.7653,1793,334
201612,040002,13,1296676987,0.553,1021,887
201612,040002,88,1152006122,0,21,13
201612,040014,29,718401959,0.2346,197,149
201612,040021,28,2452526849,11.1965,2280,683
201612,040021,88,3332038952,0.0211,129,28
201612,040036,19,1700701056,4.256,401,316
201612,040036,23,171375252,2.5307,210,181
201612,040002,6,1189539482,0.5873,421,339
201612,040014,26,3911657804,3.247,1608,1027
201612,040021,19,13931085691,4.0266,26928,1300
201612,040036,25,4944629323,8.963,377,323
201612,040002,29,438151441,0.9714,195,158
201612,040012,22,4091465097,0.3584,6799,1096
201612,040014,5,6516828915,2.2134,1212,865
201612,040002,8,4747654452,0.1946,1606,1269
201612,040014,24,3509965804,0.2826,1213,623
201612,040021,99,1.39699E+11,3.9274,119396,21498
201612,040036,3,283782848,1.1161,127,117
201612,040036,14,881420873,1.8614,739,605
201612,040044,5,3480584563,0.6653,114,68
201612,040044,20,260088212,0,22,15
201612,040044,25,7098702154,1.7369,87,54
201612,040072,31,2330786780,2.3392,1433,893
201612,040002,14,15213491350,0.1834,4589,3647
201612,040002,32,261292029,3.2299,313,255
201612,040012,30,5377683868,2.0737,3490,1419
201612,040014,15,13354215184,1.6912,3258,2174
201612,040014,99,2.7553E+11,1.7168,61130,40475
201612,040021,3,316448749,1.4956,425,159
201612,040021,16,1579808855,1.3664,21370,570
201612,040072,20,1135266358,3.2026,1264,997
201612,040072,21,2259041249,5.1266,1364,1007
201612,040072,27,1171702074,1.5011,564,351
201512,040002,4,572949605,0.2643,256,218
201512,040002,11,7225564397,0.3844,2321,1831
201512,040021,1,560681234,7.2965,2056,234
201512,040021,12,140525045,42.9373,749,224
201512,040044,20,264736090,0,9,6
201512,040072,30,4716986569,3.7756,1284,750
201612,040002,19,35601852897,0.1177,3191,2547
201612,040012,4,1679608340,2.3406,400,273
201612,040021,2,2268592675,32.7189,1597,594
201612,040044,2,3902306117,0.129,103,62
201612,040044,21,2934523822,2.5299,95,71
201612,040044,29,102704742,0,6,5
201512,040002,14,14533031761,0.1642,4273,3371
201512,040012,21,6649964213,1.7563,4337,1551
201512,040014,9,1.03796E+11,2.59,21248,14778
201512,040014,25,8822075519,10.3072,1934,1073
201512,040021,22,1407088028,7.7696,1407,436
201512,040044,23,910146395,0.6312,51,31
201512,040044,25,5504154886,4.6774,62,39
201512,040044,28,426985714,17.2871,42,26
201512,040044,31,1350943555,0.7083,58,31
201512,040072,4,1237230193,2.4813,234,196
201612,040012,5,6049986217,0.862,12008,1097
201612,040014,21,8474628317,1.133,1648,1091
201612,040014,23,9496434686,0.1324,1135,752
201612,040021,7,284629406,7.9325,506,238
201612,040021,13,1368754259,0.9116,574,239
201612,040036,12,6315882,13.7096,101,88
