cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,dat_responsabilidad_total
201512,040072,28,2,935,494,1196696956
201512,040012,1,4,463,19,1336172896
201512,040002,5,2,836,667,494407982
201512,040012,3,2,114,79,72833824
201512,040014,23,3,51,13,154811507
201512,040002,3,4,8,7,10096858
201512,040014,24,2,295,178,427110512
201512,040072,27,3,10,4,10665369
201512,040021,2,2,641,171,106009634
201512,040072,25,5,12,1,737709572
201512,040021,26,2,713,242,184399402
201512,040036,1,2,44,32,13610141
201612,040014,32,4,4,3,12515871
201612,040002,6,1,101,84,93807067
201612,040044,7,3,2,1,35804224
201512,040012,22,4,6741,27,1535184043
201612,040036,10,4,11,2,86904886
201612,040044,6,4,10,5,634091662
201612,040021,11,2,617,198,355650308
201512,040036,27,2,91,73,15285867
201512,040012,23,3,445,14,96894297
201512,040014,23,1,983,654,826653600
201512,040036,2,1,60,43,6303462
201612,040021,12,1,470,187,36329761
201612,040036,13,1,213,193,14813190
201612,040021,17,3,6,2,23059886
201512,040014,1,4,125,11,619326088
201512,040012,3,4,78,11,652006836
201512,040021,13,2,153,63,37317829
201512,040014,4,4,31,10,1330603795
201612,040021,15,5,1,1,56430793
201512,040012,9,1,65517,46573,20672620447
201512,040044,13,5,1,1,383314096
201512,040044,13,2,4,4,72257822
201512,040012,8,2,612,327,439470233
201512,040014,2,3,86,48,287974631
201512,040014,3,5,14,1,604933743
201512,040014,3,2,108,66,104535998
201512,040044,14,1,15,11,110513086
201612,040021,18,2,264,42,27530712
201512,040021,11,4,448,19,2638189899
201612,040012,25,1,3262,2240,1041560163
201512,040036,8,4,11,3,285802685
201612,040014,20,4,69,6,948783060
201512,040014,5,2,506,320,725655042
201612,040044,26,4,49,23,2015416682
201512,040012,7,2,420,221,291380404
201512,040044,15,2,41,33,390984540
201512,040012,8,1,4576,3433,1463234099
201512,040036,10,2,20,16,16436946
201512,040021,11,3,120,19,210581566
201512,040002,25,3,53,35,434644028
201512,040021,8,4,1231,15,1212313185
201612,040072,9,5,40,11,5714060209
201512,040002,24,4,24,11,453744708
201512,040021,8,1,1593,612,158068389
201512,040021,9,3,1321,96,762414443
201612,040072,11,3,77,42,224959489
201612,040036,28,4,15,8,2406282569
201512,040021,3,4,9,3,256584526
201612,040036,6,3,4,3,380553
201512,040044,14,2,33,27,246469897
201512,040012,30,1,6326,4811,2038835749
201612,040002,24,4,35,19,1120336268
201512,040044,13,3,2,2,48063490
201612,040036,5,4,5,4,1129385567
201612,040036,8,1,370,326,37139589
201612,040044,7,1,10,7,1701670
201612,040021,27,4,28,2,97279701
201512,040036,8,3,57,5,103043419
201512,040036,9,2,1084,708,1300017656
201512,040021,2,5,16,1,413911781
201512,040044,30,2,27,22,216951812
201512,040014,12,4,7,3,163983004
201612,040072,28,4,100,36,6965755560
201512,040072,13,1,100,84,71277727
201512,040002,19,1,605,497,472547865
201612,040012,9,2,13479,5118,9804806191
201512,040072,12,2,150,109,199482438
201612,040012,11,3,964,60,468570041
201612,040012,8,3,216,36,343881908
201612,040014,7,2,292,202,365709850
201512,040002,18,2,165,145,114566035
201512,5,5,3,743,151,2292856659
201612,040012,9,1,69774,49532,22344957061
201612,040014,6,2,241,157,305386902
201512,040012,16,3,146,27,187616314
201612,040014,7,1,754,571,443250871
201612,040012,9,4,53694,587,1.32253E+11
201612,040002,27,2,643,505,428420176
201612,040044,21,2,29,25,130405113
201512,040014,17,3,62,13,115751915
201512,040012,20,2,176,121,119406111
201612,040014,10,4,91,15,524988605
201612,040036,8,4,45,10,9564492347
201512,040072,14,4,300,84,4467359716
201612,040072,27,1,281,210,96511155
201612,040021,999,2,116,9,6229366
201612,040044,19,1,43,34,150454511
201612,040044,12,2,1,1,5867
201512,040072,11,4,35,20,1467790611
201612,040044,13,1,6,5,24581306
201612,040002,22,4,70,24,960088954
201612,040002,23,3,17,8,111130537
201512,040072,8,4,163,44,2667897255
201612,040036,13,2,27,20,4088973
201612,040021,9,2,4812,1621,1814382155
201512,040002,12,1,133,114,73885291
201612,5,13,5,1,1,370915587
201612,040021,10,1,586,240,51999578
201512,040021,19,5,1,1,15609818
201612,040036,14,1,518,462,67391413
201512,040036,32,2,14,10,23911682
201512,040036,24,1,43,30,55375475
201512,040036,30,1,119,93,38571923
201512,040044,25,2,17,14,134131928
201512,040044,26,1,6,6,47792557
201512,040036,24,4,33,5,397881551
201612,040021,5,3,30,11,113845975
201512,040002,15,4,316,135,13345192834
201512,040014,13,1,694,487,468255473
201612,040021,12,2,137,52,21920179
201512,040044,23,4,19,11,677135025
201612,040002,2,1,394,314,367979183
201512,040044,31,2,19,13,124392602
201612,040072,2,3,114,43,128157958
201512,5,32,2,1951,767,1755620140
201612,040072,1,4,31,17,549318084
201512,040036,27,1,116,100,18032009
201612,5,29,3,156,11,223227806
201512,040072,6,1,142,125,98612889
201612,040036,25,4,22,9,894659545
201612,5,24,2,3687,1508,3527516397
201612,040021,14,5,3,1,151246318
201612,040012,20,1,2184,1567,506930014
201612,040021,17,2,194,80,32406282
201612,040021,16,3,521,9,45034385
201512,5,5,2,5105,1909,4464245175
201612,040044,20,1,15,10,2302261
201512,5,3,4,187,29,4519821120
201612,040012,15,2,4963,1523,2728461480
201612,040044,17,4,4,4,125130317
201612,040002,11,1,544,444,449501683
201612,040044,24,3,10,5,78062675
