cve_periodo,cve_institucion,cve_tipo_moneda,cve_destino_credito,cve_TEC,tasa,responsabilidad,plazo
201512,040014,1,28,4,2.9387,3810682272,29.9149
201512,040012,1,32,2,3.38,3209256,6
201512,040014,0,29,4,6.2646,371691280,27.5882
201512,040012,0,31,4,9.75,30209633,53
201512,040014,1,0,3,4.5302,14767340,15.4251
201512,040036,0,22,2,15.6474,14401082,31.5783
201612,040072,0,27,2,12.0207,25584154554,24.171
201512,040072,1,21,2,4.1,17539337,29
201512,040014,0,28,1,8.082,531259357,21.8087
201512,040012,0,28,3,7.6963,587783272,2.8056
201612,040021,1,0,4,3.5417,4305746699,12.1609
201612,040021,0,0,5,8.0645,488980650,51.1683
201512,5,0,29,2,6.8381,271394463,23.3818
201512,5,0,30,1,8.9604,124838858,32.8219
201512,5,0,28,3,7.6451,1922940357,7.6109
201512,5,0,27,4,5.9643,6.1374E+11,42.516
201512,5,0,26,5,6.4779,748423875,44.4994
201512,5,0,32,5,7.6615,49899542,23.5598
201512,5,2,27,2,9.9809,447579,18.6009
201512,5,1,29,1,3.4352,26828293,30.1175
201612,5,1,21,2,5.0617,262069362,33.7999
201612,5,0,22,2,10.1347,16546385987,48.8912
201512,5,1,26,4,3.5313,631790445,54.7764
201512,5,1,32,4,2.6356,746575658,3.135
201612,5,0,21,3,9.9754,2258856852,51.1861
201612,5,1,22,1,6.0087,427995561,49.8042
201512,5,1,27,3,4.2494,5848037882,12.9796
201512,5,1,28,2,4.0439,127314822,19.2086
201512,040012,0,22,4,5.6974,17538450,14.8148
201512,040044,0,28,3,7.3378,97996238,
201512,040044,1,27,3,3.9406,218985626,31
201512,040044,0,27,4,5.1702,26335877169,41.5336
201512,040044,1,26,4,3.2961,432881879,39.1466
201512,040014,1,22,1,5.9039,128445897,3.4211
201512,5,1,30,3,3.5456,6982132,16.9535
201512,5,0,33,1,9.4536,2610037,40.0464
201512,5,1,0,4,3.811,15562040127,100.3387
201512,040021,0,27,5,7.202,327752185,31.949
201612,040036,1,27,5,5.0394,9417306789,121.5626
201612,040014,0,32,2,12.7833,1636827,9
