cve_periodo,cve_institucion,cve_TEC,cve_dato,saldo
201611,40133,3,3,12
201611,40036,2,4,1866
201611,40060,4,2,67461114
201611,40147,1,3,10644
201611,40102,2,3,88
201611,40014,5,2,54652944
201611,40062,2,0,3374477462
201611,40132,2,2,82404027
201611,40037,1,0,80646170
201611,40030,5,0,1532784932
201611,40113,1,3,2370
201611,40138,3,4,37
201611,5,1,2,7620073273
201611,40002,4,2,136160599
201611,40044,3,4,232
201611,40128,2,4,65
201611,40012,5,1,5110299696
201611,40012,3,3,18568
201611,40143,2,2,18886021
201611,40037,2,4,17
201611,40102,1,4,31
201611,40131,4,2,926379
201611,40152,2,3,265
201611,5,2,2,7784696085
201611,40131,2,0,620561688
201611,40042,4,4,112
201611,40154,4,4,43
201611,40044,4,1,82947473628
201611,40036,3,2,148223984
201611,5,5,3,672
201611,40106,1,3,2
201611,5,1,4,266068
201611,40072,2,0,28355534124
201611,40136,2,3,105
201611,40127,4,1,11468845764
201611,40110,3,3,2
201611,40060,2,2,55447288
201611,40036,1,4,8949
201611,40147,1,4,3805
201611,40143,3,4,15
201611,40021,1,0,4795279388
201611,40128,1,0,205133817
201611,40036,3,1,568894994
201611,40060,3,1,378063128
201611,40030,2,3,22302
201611,40152,4,0,3604720281
201611,40060,2,1,834759489
201611,40154,4,2,4532746
201611,40138,1,2,30180235
201611,40062,4,2,8090055
201611,40113,3,0,1317526294
201611,40131,2,1,569647984
201611,40113,4,2,36434781
201611,40002,5,4,1
201611,40145,3,0,460905651
201611,40133,4,1,5933612141
201611,40102,1,3,34
201611,40113,3,2,68347021
201611,40058,1,0,8550365408
201611,40021,4,2,4653579031
201611,40044,2,4,549
201611,40012,1,1,64519446638
201611,40150,3,3,64
201611,40072,4,4,1369
201611,40042,4,0,9893912878
201611,40062,4,0,5887854287
201611,40143,5,3,1
201611,40037,1,3,13
201611,40152,1,0,718090877
201611,40138,2,1,1038773580
201611,40147,3,1,156315298
201611,5,4,1,1.42359E+12
201611,40037,2,3,19
201611,40002,4,3,3956
201611,40113,3,3,226
201611,40030,4,2,274807197
201611,40062,3,1,1058674453
201611,40102,3,0,289863490
201611,40062,4,4,136
201611,40137,1,0,124446479
201611,40030,3,0,6007334322
201611,40154,2,3,503
201611,40143,4,4,49
201611,40030,2,1,16246451567
201611,40150,4,4,62
201611,40062,2,1,3204265837
201611,40106,4,1,4342930008
201611,40112,1,3,150
201611,40058,3,4,587
201611,40147,3,4,11
201611,40014,1,2,1026430952
201611,40108,3,3,6
201611,40002,1,0,12052087258
201611,40014,5,0,3023573509
201611,40106,3,2,28726897
201611,40030,2,4,4502
201611,40021,1,1,4399751329
201611,40147,4,0,585461976
201611,40037,5,3,11
201611,40137,2,4,40
201611,5,2,4,80693
201611,40060,1,0,799114854
201611,40147,2,1,706967780
201611,40156,3,4,23
201611,40152,3,0,349585272
201611,40042,2,4,276
201611,40060,4,4,58
201611,40102,4,0,736239046
201611,40062,3,4,179
201611,40132,3,0,495080272
201611,40012,3,4,1599
201611,40138,4,1,1961005808
201611,40012,1,4,162499
201611,40131,1,3,6778
201611,40150,1,4,80
201611,40110,1,1,47541696
201611,40012,2,1,27789161058
201611,40002,1,1,11888170844
201611,40108,1,1,117119616
201611,40112,1,2,10248921
201611,40156,2,1,318901692
201611,40137,2,0,269379326
201611,40060,1,2,53032144
201611,40145,3,2,9623375
201611,40155,4,4,1
201611,40150,1,1,702742864
201611,40036,2,2,286406951
201611,40030,3,4,575
201611,40128,2,1,252454804
201611,40102,2,1,573501545
201611,40150,2,4,123
201611,40058,3,0,4517353318
201611,40143,1,1,187590468
201611,40012,3,1,12484148155
201611,40021,3,3,4932
201611,5,1,1,1.7152E+11
201611,40108,3,1,139159442
201611,40072,4,3,4463
201611,5,1,0,1.7914E+11
201611,40128,2,2,37281379
201611,40030,3,3,3117
201611,40113,2,3,1251
201611,40030,4,4,755
201611,40145,4,3,1776
201611,40059,4,1,10506416927
201611,40002,4,4,1288
201611,40072,5,1,6411616205
201611,40014,4,2,2941738056
201611,40140,4,1,48000000
201611,40145,1,0,230780529
201611,40143,3,3,28
201611,40037,4,0,17911098245
201611,40002,2,3,45244
201611,40021,3,4,396
201611,40059,3,2,46469268
201611,40014,2,0,36521555053
201611,40044,5,1,1800899645
201611,40108,1,4,5
201611,40152,1,2,5794538
201611,40113,1,0,2936550645
201611,40128,3,0,263378360
201611,40044,1,3,570
201611,40102,4,4,32
201611,40014,3,2,379991106
201611,40147,4,2,64061250
201611,40059,2,2,63275306
201611,40108,2,4,14
201611,40042,5,0,1183073848
201611,40151,2,4,2
201611,40106,1,1,11158106
201611,40138,3,0,533664728
201611,40059,2,3,113
201611,40133,2,4,79
201611,40136,3,0,289545753
201611,40021,4,3,85915
201611,40132,5,3,3
201611,40137,3,4,18
201611,40156,3,0,390454025
